Campaign,Type,Product,Channel,Advertiser,Industry,Agency,SFDC OID,Rep_ID,CPA/CPM,Start Date,End Date,CPM Price,Contracted Impressions,Booked Impressions,Delivered Impressions,Contracted Deal,Revised Deal,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01
1-800-Dentist- Feb April 2012 CPA,Perf LAL,Perf LAL,Inside,1-800-Dentist,FS: Other,Direct,,,CPA,2012-02-01,2012-04-30,,,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222.22222222222,3444.44444444444,3333.33333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-800-Flowers - Dec 2011,Perf LAL,Perf LAL,Inside,1-800-Flowers,Retail,Direct,,,CPM,2011-11-28,2012-01-01,5.0,19000000,,,70000.0,95000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8142.85714285714,84142.8571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-800-Flowers - Nov 2011,Perf LAL,Perf LAL,Inside,1-800-Flowers,Retail,Direct,,,CPM,2011-11-03,2011-11-27,5.0,8000000,,,40000.0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-800 Mattress.com Q4,Perf LAL,Perf LAL,Inside,1-800 Mattress,Retail,Traffiq,,,CPM,2011-10-02,2011-12-31,3.5,16302937,,,47060.28,57060.28,0,0,0,0,0,0,0,0,0,0,0,0,0,18811.0813186813,18811.0813186813,19438.1173626374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123RF: New Purchaser CPA Campaign: April - May 2012 ,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,,,CPA,2012-04-11,2012-05-11,50.0,200,,,10000.0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6451.61290322581,3548.38709677419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123RF: New Purchaser CPA Campaign: June-July 2012,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,,,CPA,2012-06-16,2012-07-31,30.0,666,,,19980.0,19980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6515.21739130435,13464.7826086957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123RF: New Purchaser CPA Campaign: Nov - Dec  2012,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,13534,,CPA,2012-11-08,2012-12-31,35.0,1143,,,40005.0,40005.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16605.8490566038,23399.1509433962,0,0,0,0,0,0,0,0,0,0,0,0
123RF: New Purchaser CPA Campaign: Sept - November 2012,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,12225,,CPA,2012-09-24,2012-11-07,30.0,666,,,19980.0,19980.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3108.0,13764.0,3108.0,0,0,0,0,0,0,0,0,0,0,0,0,0
123RF: Stock Photographs and Illustrations,Perf LAL,Perf LAL,Inside,123RF,FS: Other,Inmagine,,,CPM,2011-10-05,2011-11-14,3.5,7142857,,,25000.0,25000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,16463.4146341463,8536.58536585366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123rf_CPA_Jan2013,Perf LAL,Perf LAL,Inside,123rf,Web Media,Direct,15199,,CPA,2013-01-15,2013-03-31,0.0,,,,60000.0,60000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13421.0526315789,22105.2631578947,24473.6842105263,0,0,0,0,0,0,0,0,0
2011 - Pfresh Cycle 10,Perf LAL,Perf LAL,Direct,Target,Retail,Haworth Marketing & Media,6060,,CPM,2011-09-25,2011-11-05,4.0,28617630,,,114470.5,114470.5,0,0,0,0,0,0,0,0,0,0,0,0,16352.9285714286,84490.130952381,13627.4404761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 - Pfresh Cycle 7,Perf LAL,Perf LAL,Direct,Target,Retail,Haworth Marketing & Media,,,CPM,2011-07-10,2011-08-21,4.5,78299767,,,352348.94,352348.94,0,0,0,0,0,0,0,0,0,0,180271.550697674,172077.389302326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Deluxe Campaign,Perf LAL,Perf LAL,Inside,Deluxe,FS: Other,Riley Hayes,,,CPM,2011-10-01,2011-10-31,5.0,3000000,,,15000.0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011 Pfresh,Perf LAL,Perf LAL,Direct,Target,Retail,Haworth Marketing & Media,,,CPM,2011-03-27,2011-04-24,6.0,34809523,,,208857.13,208228.62,0,0,0,0,0,0,35901.4862068966,172327.133793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012 Pfresh Cycle 6,Perf LAL,Perf LAL,Direct,Target,Retail,Haworth Marketing & Media,,,CPM,2011-05-22,2011-07-03,4.5,55592585,,,250166.66,250166.66,0,0,0,0,0,0,0,0,58178.2930232558,174534.879069767,17453.4879069767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
